name,category,standard_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,estimated_shelf_life_days,storage_type
"Hummus, commercial",Legumes and Legume Products,tablespoon,229.0,7.35,14.9,17.1,5.4,,
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,cup,50.0,3.35,4.91,1.9,,,
"Tomatoes, grape, raw",Vegetables and Vegetable Products,tomatoes,27.0,0.83,5.51,0.63,2.1,,
"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,cup,21.0,1.04,4.11,0.39,,,
"Broccoli, raw",Vegetables and Vegetable Products,cup,32.0,2.57,6.29,0.34,2.4,,
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,cup,43.0,3.38,5.19,0.95,,,
"Milk, nonfat, fluid, with added vitamin A and vitamin D( fat free or skim",Dairy and Egg Products,cup,34.0,3.43,4.89,0.08,,,
"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,cup,60.0,3.28,4.67,3.2,,,
"Frankfurter, beef, unheated",Sausages and Luncheon Meats,piece,314.0,11.7,2.89,28.0,,,
"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,cup,620.0,20.4,16.2,57.8,11.0,,
"Cheese, ricotta, whole milk",Dairy and Egg Products,cup,157.0,7.81,6.86,11.0,,,
"Kale, raw",Vegetables and Vegetable Products,cup,35.0,2.92,4.42,1.49,4.1,,
"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,oz,150.0,12.3,0.91,10.3,,,
"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,oz,48.0,10.1,0.74,0.16,,,
"Egg, white, dried",Dairy and Egg Products,tablespoon,376.0,79.9,6.02,0.65,,,
"Sauce, salsa, ready- to- serve","Soups, Sauces, and Gravies",tablespoon,29.0,1.44,6.74,0.19,1.8,,
"Sausage, breakfast sausage, beef, pre- cooked, unprepared",Sausages and Luncheon Meats,link,328.0,13.3,3.37,28.7,,,
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,piece,288.0,4.52,36.3,14.4,2.4,,
"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,spear,12.0,0.48,1.99,0.43,1.0,,
"Peanut butter, smooth style, with salt",Legumes and Legume Products,tablespoon,597.0,22.5,22.3,51.1,4.8,,
"Cheese, parmesan, grated",Dairy and Egg Products,tablespoon,421.0,29.6,12.4,28.0,,,
"Cheese, pasteurized process, American, vitamin D fortified",Dairy and Egg Products,slice,366.0,18.0,5.27,30.6,,,
"Grapefruit juice, white, canned or bottled, unsweetened",Fruits and Fruit Juices,cup,37.0,0.55,7.59,0.7,0.2,,
"Peaches, yellow, raw",Fruits and Fruit Juices,cup,42.0,0.91,10.1,0.27,1.5,,
"Seeds, sunflower seed kernels, dry roasted, with salt added",Nut and Seed Products,cup,612.0,21.0,17.1,56.1,10.3,,
"Sausage, Italian, pork, mild, cooked, pan- fried",Sausages and Luncheon Meats,link,322.0,18.2,2.15,26.2,,,
"Bread, white, commercially prepared",Baked Products,slice,270.0,9.43,49.2,3.59,2.3,,
"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,link,169.0,16.7,0.93,10.4,,,
"Cheese, swiss",Dairy and Egg Products,slice,393.0,27.0,1.44,31.0,,,
"Kale, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,cup,36.0,2.94,5.3,1.21,,,
"Carrots, frozen, unprepared( Includes foods for USDA's Food Distribution Program",Vegetables and Vegetable Products,g,37.0,0.81,7.92,0.47,3.2,,
"Mustard, prepared, yellow",Spices and Herbs,teaspoon,61.0,4.25,5.3,3.38,4.3,,
"Figs, dried, uncooked",Fruits and Fruit Juices,cup,249.0,3.3,63.9,0.92,9.8,,
"Kiwifruit, green, raw",Fruits and Fruit Juices,g,58.0,1.06,14.0,0.44,3.0,,
"Melons, cantaloupe, raw",Fruits and Fruit Juices,cup,34.0,0.82,8.16,0.18,0.8,,
"Nectarines, raw",Fruits and Fruit Juices,cup,39.0,1.06,9.18,0.28,1.5,,
"Oranges, raw, navels( Includes foods for USDA's Food Distribution Program",Fruits and Fruit Juices,cup,47.0,0.91,11.8,0.15,2.0,,
"Strawberries, raw",Fruits and Fruit Juices,g,31.0,0.64,7.63,0.22,1.8,,
"Lettuce, cos or romaine, raw",Vegetables and Vegetable Products,bunch,17.0,1.24,3.24,0.26,1.8,,
"Cheese, cheddar",Dairy and Egg Products,slice,408.0,23.3,2.44,34.0,,,
"Cheese, cottage, lowfat, 2% milkfat",Dairy and Egg Products,cup,84.0,11.0,4.31,2.3,,,
"Cheese, mozzarella, low moisture, part- skim",Dairy and Egg Products,cup,298.0,23.7,4.44,20.4,,,
"Egg, whole, dried",Dairy and Egg Products,oz,575.0,48.1,1.87,39.8,,,
"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,oz,296.0,15.6,0.59,25.1,,,
"Egg, yolk, dried",Dairy and Egg Products,oz,654.0,34.2,1.07,55.5,,,
"Cheese, dry white, queso seco",Dairy and Egg Products,cup,326.0,24.5,2.07,24.3,,,
"Yogurt, Greek, plain, nonfat",Dairy and Egg Products,container,61.0,10.3,3.64,0.37,,,
"Yogurt, Greek, strawberry, nonfat",Dairy and Egg Products,container,83.0,8.06,12.2,0.15,0.6,,
"Oil, coconut",Fats and Oils,tablespoon,833.0,0.0,0.84,99.1,,,
"Turkey, ground, 93% lean, 7% fat, pan- broiled crumbles",Poultry Products,paired cooked w,220.0,27.1,0.0,11.6,,,
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Poultry Products,drumstick,156.0,23.9,0.0,5.95,,,
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Poultry Products,piece,166.0,32.1,0.0,3.24,,,
"Sauce, pasta, spaghetti/ marinara, ready- to- serve","Soups, Sauces, and Gravies",serving,45.0,1.41,8.05,1.48,1.8,,
"Ham, sliced, pre- packaged, deli meat( 96%fat free, water added",Sausages and Luncheon Meats,slice,106.0,16.7,0.27,3.73,,,
"Pears, raw, bartlett( Includes foods for USDA's Food Distribution Program",Fruits and Fruit Juices,cup,57.0,0.38,15.1,0.16,3.1,,
"Olives, green, Manzanilla, stuffed with pimiento",Fruits and Fruit Juices,olive,130.0,1.15,4.96,12.9,4.0,,
"Sausage, pork, chorizo, link or ground, cooked, pan- fried",Sausages and Luncheon Meats,link,346.0,19.3,2.63,28.1,,,
"Cookies, oatmeal, soft, with raisins",Baked Products,cookie,430.0,5.79,69.6,14.3,3.3,,
"Tomatoes, canned, red, ripe, diced",Vegetables and Vegetable Products,cup,18.0,0.84,3.32,0.5,,,
"Fish, haddock, raw",Finfish and Shellfish Products,fillet,74.0,16.3,0.0,0.45,,,
"Fish, pollock, raw",Finfish and Shellfish Products,fillet,56.0,12.3,0.0,0.41,,,
"Fish, tuna, light, canned in water, drained solids",Finfish and Shellfish Products,can,90.0,19.0,0.08,0.94,,,
"Sugars, granulated",Sweets,teaspoon,385.0,0.0,99.6,0.32,,,
"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,order,260.0,8.88,25.5,13.6,1.0,,
"Restaurant, Chinese, fried rice, without meat",Restaurant Foods,cup,174.0,3.84,32.5,3.19,,,
"Restaurant, Latino, tamale, pork",Restaurant Foods,piece,174.0,7.38,15.8,9.04,2.4,,
"Restaurant, Latino, pupusas con frijoles( pupusas, bean",Restaurant Foods,piece,229.0,5.59,31.5,9.01,5.8,,
"Beef, loin, top loin steak, boneless, lip- on, separable lean only, trimmed to 1/ 8"" fat, choice, raw",Beef Products,steak,155.0,22.8,0.0,6.39,,,
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,roast,176.0,27.7,0.0,6.36,,,
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,roast,122.0,23.4,0.0,2.48,,,
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,roast,123.0,23.7,0.0,2.41,,,
"Beef, short loin, t- bone steak, bone- in, separable lean only, trimmed to 1/ 8"" fat, choice, cooked, grilled",Beef Products,steak,219.0,27.3,0.0,11.4,,,
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/ 8"" fat, select, raw",Beef Products,steak,145.0,22.7,0.0,5.32,,,
"Bread, whole- wheat, commercially prepared",Baked Products,slice,254.0,12.3,43.1,3.55,6.0,,
"Carrots, frozen, unprepared",Vegetables and Vegetable Products,g,37.0,0.81,7.92,0.47,3.2,,
"Oranges, raw, navels",Fruits and Fruit Juices,cup,47.0,0.91,11.8,0.15,2.0,,
"Pears, raw, bartlett",Fruits and Fruit Juices,cup,57.0,0.38,15.1,0.16,3.1,,
"Ham, sliced, restaurant",Pork Products,slice,121.0,19.6,2.36,3.68,,,
"Cheese, American, restaurant",Dairy and Egg Products,slice,375.0,17.5,6.35,31.1,,,
"Ketchup, restaurant",Vegetables and Vegetable Products,g,117.0,1.11,26.8,0.55,,,
"Eggs, Grade A, Large, egg white",Dairy and Egg Products,egg,55.0,10.7,2.36,0.0,,,
"Eggs, Grade A, Large, egg yolk",Dairy and Egg Products,egg,334.0,16.2,1.02,28.8,,,
"Eggs, Grade A, Large, egg whole",Dairy and Egg Products,egg,148.0,12.4,0.96,9.96,0.0,,
"Pork, cured, bacon, cooked, restaurant",Pork Products,slice,500.0,40.9,2.1,36.5,,,
"Flour, wheat, all- purpose, enriched, bleached",Cereal Grains and Pasta,g,366.0,10.9,77.3,1.48,,,
"Flour, wheat, all- purpose, enriched, unbleached",Cereal Grains and Pasta,g,358.0,13.1,73.2,1.48,,,
"Flour, wheat, all- purpose, unenriched, unbleached",Cereal Grains and Pasta,g,362.0,12.0,74.6,1.7,3.0,,
"Flour, whole wheat, unenriched",Cereal Grains and Pasta,g,370.0,15.1,71.2,2.73,10.6,,
"Flour, bread, white, enriched, unbleached",Cereal Grains and Pasta,g,363.0,14.3,72.8,1.65,,,
"Flour, rice, white, unenriched",Cereal Grains and Pasta,g,359.0,6.94,79.8,1.3,0.5,,
"Flour, corn, yellow, fine meal, enriched",Cereal Grains and Pasta,g,364.0,6.2,80.8,1.74,4.3,,
"Onions, red, raw",Vegetables and Vegetable Products,onion,44.0,0.94,9.93,0.1,2.2,,
"Onions, yellow, raw",Vegetables and Vegetable Products,onion,38.0,0.83,8.61,0.05,1.9,,
"Bananas, overripe, raw",Fruits and Fruit Juices,banana,85.0,0.73,20.1,0.22,1.7,,
"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,banana,97.0,0.74,23.0,0.29,1.7,,
"Garlic, raw",Vegetables and Vegetable Products,g,143.0,6.62,28.2,0.38,2.7,,
"Flour, soy, defatted",Legumes and Legume Products,g,366.0,51.1,32.9,3.33,,,
"Flour, soy, full- fat",Legumes and Legume Products,g,452.0,38.6,27.9,20.7,,,
"Flour, rice, brown",Cereal Grains and Pasta,g,365.25,7.19,75.5,3.85,,,
"Flour, rice, glutinous",Cereal Grains and Pasta,g,358.0,6.69,80.1,1.16,,,
"Flour, pastry, unenriched, unbleached",Cereal Grains and Pasta,g,358.0,8.75,77.2,1.64,,,
"Onions, white, raw",Vegetables and Vegetable Products,g,35.0,0.89,7.68,0.13,1.2,,
"Apples, red delicious, with skin, raw",Fruits and Fruit Juices,g,62.0,0.19,14.8,0.21,2.0,,
"Apples, honeycrisp, with skin, raw",Fruits and Fruit Juices,g,60.0,0.1,14.7,0.1,1.7,,
"Apples, granny smith, with skin, raw",Fruits and Fruit Juices,g,59.0,0.27,14.2,0.14,2.5,,
"Apples, gala, with skin, raw",Fruits and Fruit Juices,g,61.0,0.13,14.8,0.15,2.1,,
"Apples, fuji, with skin, raw",Fruits and Fruit Juices,g,65.0,0.15,15.7,0.16,2.1,,
